fproceso,subdepto,qfabrica,pares,vcestil,requiere,meta,ndepto
06/04/2017,"FAMILIA",1,35,"75015",T,850,"FAMILIA1"
07/04/2017,"FAMILIA",1,200,"10300",T,887,"FAMILIA1"
07/04/2017,"FAMILIA",1,3,"11123",T,887,"FAMILIA1"
07/04/2017,"FAMILIA",1,373,"18320",T,887,"FAMILIA1"
07/04/2017,"FAMILIA",1,205,"60251",T,887,"FAMILIA1"
07/04/2017,"FAMILIA",1,108,"90081",T,887,"FAMILIA1"
08/04/2017,"FAMILIA",1,150,"14862",T,430,"FAMILIA1"
08/04/2017,"FAMILIA",1,26,"18320",T,430,"FAMILIA1"
08/04/2017,"FAMILIA",1,10,"60254",T,430,"FAMILIA1"
08/04/2017,"FAMILIA",1,150,"783",T,430,"FAMILIA1"
17/04/2017,"FAMILIA",1,75,"10554",T,760,"FAMILIA1"
17/04/2017,"FAMILIA",1,604,"10709",T,760,"FAMILIA1"
18/04/2017,"FAMILIA",1,163,"10554",T,835,"FAMILIA1"
18/04/2017,"FAMILIA",1,8,"10709",T,835,"FAMILIA1"
18/04/2017,"FAMILIA",1,74,"11123",T,835,"FAMILIA1"
18/04/2017,"FAMILIA",1,61,"13584",T,835,"FAMILIA1"
18/04/2017,"FAMILIA",1,437,"60251",T,835,"FAMILIA1"
18/04/2017,"FAMILIA",1,96,"95042",T,835,"FAMILIA1"
19/04/2017,"FAMILIA",1,48,"10554",T,883,"FAMILIA1"
19/04/2017,"FAMILIA",1,34,"10673",T,883,"FAMILIA1"
19/04/2017,"FAMILIA",1,62,"11123",T,883,"FAMILIA1"
19/04/2017,"FAMILIA",1,49,"11571",T,883,"FAMILIA1"
19/04/2017,"FAMILIA",1,42,"12647",T,883,"FAMILIA1"
19/04/2017,"FAMILIA",1,598,"60251",T,883,"FAMILIA1"
19/04/2017,"FAMILIA",1,22,"75015",T,883,"FAMILIA1"
19/04/2017,"FAMILIA",1,29,"90081",T,883,"FAMILIA1"
19/04/2017,"FAMILIA",1,12,"95042",T,883,"FAMILIA1"
20/04/2017,"FAMILIA",1,300,"10300",T,895,"FAMILIA1"
20/04/2017,"FAMILIA",1,171,"10673",T,895,"FAMILIA1"
20/04/2017,"FAMILIA",1,400,"18320",T,895,"FAMILIA1"
20/04/2017,"FAMILIA",1,31,"90081",T,895,"FAMILIA1"
21/04/2017,"FAMILIA",1,952,"10673",T,950,"FAMILIA1"
22/04/2017,"FAMILIA",1,461,"10673",T,450,"FAMILIA1"
24/04/2017,"FAMILIA",1,200,"10300",T,927,"FAMILIA1"
24/04/2017,"FAMILIA",1,37,"10554",T,927,"FAMILIA1"
24/04/2017,"FAMILIA",1,447,"10673",T,927,"FAMILIA1"
24/04/2017,"FAMILIA",1,29,"14862",T,927,"FAMILIA1"
24/04/2017,"FAMILIA",1,184,"18320",T,927,"FAMILIA1"
24/04/2017,"FAMILIA",1,31,"783",T,927,"FAMILIA1"
25/04/2017,"FAMILIA",1,398,"10673",T,918,"FAMILIA1"
25/04/2017,"FAMILIA",1,270,"12647",T,918,"FAMILIA1"
25/04/2017,"FAMILIA",1,10,"18320",T,918,"FAMILIA1"
25/04/2017,"FAMILIA",1,29,"75015",T,918,"FAMILIA1"
25/04/2017,"FAMILIA",1,56,"90081",T,918,"FAMILIA1"
26/04/2017,"FAMILIA",1,878,"12647",T,855,"FAMILIA1"
27/04/2017,"FAMILIA",1,66,"10709",T,959,"FAMILIA1"
27/04/2017,"FAMILIA",1,97,"12647",T,959,"FAMILIA1"
27/04/2017,"FAMILIA",1,604,"60251",T,959,"FAMILIA1"
27/04/2017,"FAMILIA",1,201,"90081",T,959,"FAMILIA1"
28/04/2017,"FAMILIA",1,694,"11123",T,760,"FAMILIA1"
28/04/2017,"FAMILIA",1,68,"90081",T,760,"FAMILIA1"
29/04/2017,"FAMILIA",1,207,"11123",T,365,"FAMILIA1"
29/04/2017,"FAMILIA",1,162,"95042",T,365,"FAMILIA1"
02/05/2017,"FAMILIA",1,200,"10300",T,790,"FAMILIA1"
02/05/2017,"FAMILIA",1,46,"10554",T,790,"FAMILIA1"
02/05/2017,"FAMILIA",1,150,"11131",T,790,"FAMILIA1"
02/05/2017,"FAMILIA",1,168,"13584",T,790,"FAMILIA1"
